"database_name";"table_name";"model_name";"is_active";"execution_frequency";"execution_where_clause";"real_window";"retention_comment"
EP_CDC;ST_BD_FD_OPTIONS;EP_CDC;1;W ;(TT_END_DTTM < CAST( (CAST(CAST('$$LOAD_DTTM' AS TIMESTAMP(0)) AS DATE) - INTERVAL '60' DAY) AS TIMESTAMP(0))) OR (Operation = 'D' AND src_dttm < CAST( (CAST(CAST('$$LOAD_DTTM' AS TIMESTAMP(0)) AS DATE) - INTERVAL '60' DAY) AS TIMESTAMP(0)));60;INIT: vygenerovano z Press
AP_STG;KALT_DEVICE_ACTIVITY_INC;AP_STG;1;D ;loaded_dttm < CAST( (CAST(CAST('$$LOAD_DTTM' AS TIMESTAMP(0)) AS DATE) - INTERVAL '10' DAY) AS TIMESTAMP(0));10;INIT: vygenerovano z UDI
AP_STG;UCM_UA_OFFERATTRIBUTE;AP_STG;1;D ;loaded_dttm < CAST( (CAST(CAST('$$LOAD_DTTM' AS TIMESTAMP(0)) AS DATE) - INTERVAL '10' DAY) AS TIMESTAMP(0));10;
EP_STRM_EH;EXPN_EVENT;EP_STRM_EH;1;W ;"   (trim(event_type) = 'mojeO2app_login'  and CAST(inserted_ts AS DATE)  <  CURRENT_DATE - 1095) or (  trim(event_type)  <> 'mojeO2app_login' and CAST(inserted_ts AS DATE)  <     CURRENT_DATE - 365) ;";;BIDEV-2363: bimain\reqs\C168614_Event_Store\RMS\DD_OSD-2199_RFC-33937_CIS-168614_EDW_Event_Store.md
EP_LND;RMCA_ZBALSAP;EP_LND;1;D ;extract_dttm < CAST( (CAST(CAST('$$LOAD_DTTM' AS TIMESTAMP(0)) AS DATE) - INTERVAL '10' DAY) AS TIMESTAMP(0));10;INIT: vygenerovano z UDI
EP_LND;MAMP_CLICK;EP_LND;1;D ;extract_dttm < CAST( (CAST(CAST('$$LOAD_DTTM' AS TIMESTAMP(0)) AS DATE) - INTERVAL '730' DAY) AS TIMESTAMP(0));730;
EP_STG;NTE_IPTV_ENTITY;EP_STG;1;D ;ins_dttm < CAST( (CAST(CAST('$$LOAD_DTTM' AS TIMESTAMP(0)) AS DATE) - INTERVAL '10' DAY) AS TIMESTAMP(0));10;
EP_CDC;TTS_TDST_A_WONOTICE;EP_CDC;1;D ;(TT_END_DTTM < CAST( (CAST(CAST('$$LOAD_DTTM' AS TIMESTAMP(0)) AS DATE) - INTERVAL '30' DAY) AS TIMESTAMP(0))) OR (Operation = 'D' AND src_dttm < CAST( (CAST(CAST('$$LOAD_DTTM' AS TIMESTAMP(0)) AS DATE) - INTERVAL '90' DAY) AS TIMESTAMP(0)));30;vyjimky - tyto retence se vykonavaji denne - a mohou zachovavat jinou nez standardni delku. Uz nevime proc prave tyto tabulky retencujeme prave timto zpusobem, mozna bezduvodne.
AP_STG;IMD_RCS_EVENT;AP_STG;0;D ;extract_dttm < CAST( (CAST(CAST('$$LOAD_DTTM' AS TIMESTAMP(0)) AS DATE) - INTERVAL '220' DAY) AS TIMESTAMP(0));220;INIT: vygenerovano z press
EP_LND;RMCA_PYMET_DESC;EP_LND;1;D ;extract_dttm < CAST( (CAST(CAST('$$LOAD_DTTM' AS TIMESTAMP(0)) AS DATE) - INTERVAL '10' DAY) AS TIMESTAMP(0));10;bylo původně 32, ale pro CUT jsme se dohodli s H, Heroutem na zvýčení - po CUT možno vrátit na 32 - měsíční data, aby tam byl poslední měsíc
